retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method,unique_transaction_key
Foot Locker,1185732,2021-06-19,Midwest,Illinois,Chicago,Men's Athletic Footwear,50.0,150,7500,2625,Outlet,1185732_2021-06-19_Men's Athletic Footwear_Outlet_Chicago_150_50.0
Foot Locker,1185732,2021-07-26,Midwest,Illinois,Chicago,Women's Street Footwear,50.0,150,7500,2625,Outlet,1185732_2021-07-26_Women's Street Footwear_Outlet_Chicago_150_50.0
Foot Locker,1185732,2021-08-03,Midwest,Illinois,Chicago,Men's Apparel,60.0,150,9000,3150,Outlet,1185732_2021-08-03_Men's Apparel_Outlet_Chicago_150_60.0
Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50.0,150,7500,2625,Outlet,1185732_2021-11-04_Men's Athletic Footwear_Outlet_Philadelphia_150_50.0
Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50.0,150,7500,2250,Outlet,1185732_2021-11-10_Men's Athletic Footwear_Outlet_Philadelphia_150_50.0
Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40.0,150,6000,2100,Outlet,1185732_2021-11-11_Women's Street Footwear_Outlet_Philadelphia_150_40.0
Foot Locker,1185732,2021-11-17,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55.0,150,8250,2888,Outlet,1185732_2021-11-17_Women's Street Footwear_Outlet_Philadelphia_150_55.0
Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55.0,150,8250,3300,Outlet,1185732_2021-11-24_Women's Athletic Footwear_Outlet_Philadelphia_150_55.0
West Gear,1128299,2020-03-31,West,Colorado,Denver,Men's Apparel,60.0,150,9000,4500,In-store,1128299_2020-03-31_Men's Apparel_In-store_Denver_150_60.0
Foot Locker,1185732,2020-10-21,Midwest,Minnesota,Minneapolis,Men's Apparel,45.0,150,6750,2025,In-store,1185732_2020-10-21_Men's Apparel_In-store_Minneapolis_150_45.0
Foot Locker,1185732,2020-10-24,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,35.0,150,5250,1575,In-store,1185732_2020-10-24_Men's Athletic Footwear_In-store_Minneapolis_150_35.0
Foot Locker,1185732,2020-10-27,Midwest,Minnesota,Minneapolis,Men's Apparel,45.0,150,6750,2025,In-store,1185732_2020-10-27_Men's Apparel_In-store_Minneapolis_150_45.0
Foot Locker,1185732,2020-11-11,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45.0,150,6750,2025,In-store,1185732_2020-11-11_Men's Athletic Footwear_In-store_Minneapolis_150_45.0
Foot Locker,1185732,2020-11-19,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.0,150,5250,1838,Outlet,1185732_2020-11-19_Women's Athletic Footwear_Outlet_Minneapolis_150_35.0
Foot Locker,1185732,2020-11-20,Midwest,Minnesota,Minneapolis,Men's Apparel,50.0,150,7500,2250,Outlet,1185732_2020-11-20_Men's Apparel_Outlet_Minneapolis_150_50.0
Foot Locker,1185732,2020-12-02,Midwest,Minnesota,Minneapolis,Men's Apparel,45.0,150,6750,2025,Outlet,1185732_2020-12-02_Men's Apparel_Outlet_Minneapolis_150_45.0
Foot Locker,1185732,2020-12-06,Midwest,Minnesota,Minneapolis,Women's Street Footwear,25.0,150,3750,1125,Outlet,1185732_2020-12-06_Women's Street Footwear_Outlet_Minneapolis_150_25.0
Foot Locker,1185732,2020-12-19,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40.0,150,6000,2100,Outlet,1185732_2020-12-19_Women's Athletic Footwear_Outlet_Minneapolis_150_40.0
Foot Locker,1185732,2021-06-04,Midwest,Nebraska,Omaha,Women's Street Footwear,30.0,150,4500,1575,Outlet,1185732_2021-06-04_Women's Street Footwear_Outlet_Omaha_150_30.0
Foot Locker,1185732,2021-06-07,Midwest,Nebraska,Omaha,Women's Apparel,40.0,150,6000,3000,Outlet,1185732_2021-06-07_Women's Apparel_Outlet_Omaha_150_40.0
Foot Locker,1185732,2021-06-13,Midwest,Nebraska,Omaha,Women's Apparel,35.0,150,5250,2625,Outlet,1185732_2021-06-13_Women's Apparel_Outlet_Omaha_150_35.0
Foot Locker,1185732,2021-06-19,Midwest,Nebraska,Omaha,Women's Apparel,55.0,150,8250,4125,Outlet,1185732_2021-06-19_Women's Apparel_Outlet_Omaha_150_55.0
Foot Locker,1185732,2021-06-21,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35.0,150,5250,1838,Outlet,1185732_2021-06-21_Men's Athletic Footwear_Outlet_Omaha_150_35.0
Foot Locker,1185732,2021-06-23,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.0,150,4500,1800,Outlet,1185732_2021-06-23_Women's Athletic Footwear_Outlet_Omaha_150_30.0
Foot Locker,1185732,2021-06-24,Midwest,Nebraska,Omaha,Men's Apparel,45.0,150,6750,2363,Outlet,1185732_2021-06-24_Men's Apparel_Outlet_Omaha_150_45.0
Foot Locker,1185732,2021-07-13,Midwest,Nebraska,Omaha,Women's Apparel,35.0,150,5250,2625,Outlet,1185732_2021-07-13_Women's Apparel_Outlet_Omaha_150_35.0
Foot Locker,1185732,2021-07-15,Midwest,Nebraska,Omaha,Men's Athletic Footwear,30.0,150,4500,1575,Outlet,1185732_2021-07-15_Men's Athletic Footwear_Outlet_Omaha_150_30.0
Foot Locker,1185732,2021-07-19,Midwest,Nebraska,Omaha,Women's Apparel,45.0,150,6750,3375,Outlet,1185732_2021-07-19_Women's Apparel_Outlet_Omaha_150_45.0
Foot Locker,1185732,2021-07-21,Midwest,Nebraska,Omaha,Men's Athletic Footwear,30.0,150,4500,1575,Outlet,1185732_2021-07-21_Men's Athletic Footwear_Outlet_Omaha_150_30.0
Foot Locker,1185732,2021-07-29,Midwest,Nebraska,Omaha,Women's Athletic Footwear,40.0,150,6000,2400,Outlet,1185732_2021-07-29_Women's Athletic Footwear_Outlet_Omaha_150_40.0
Foot Locker,1185732,2021-07-30,Midwest,Nebraska,Omaha,Men's Apparel,50.0,150,7500,2625,Outlet,1185732_2021-07-30_Men's Apparel_Outlet_Omaha_150_50.0
Amazon,1185732,2021-10-16,Northeast,Maine,Portland,Men's Apparel,50.0,150,7500,1875,Outlet,1185732_2021-10-16_Men's Apparel_Outlet_Portland_150_50.0
Amazon,1185732,2021-10-19,Northeast,Maine,Portland,Men's Athletic Footwear,40.0,150,6000,2100,Outlet,1185732_2021-10-19_Men's Athletic Footwear_Outlet_Portland_150_40.0
Amazon,1185732,2021-10-22,Northeast,Maine,Portland,Men's Apparel,50.0,150,7500,1875,Outlet,1185732_2021-10-22_Men's Apparel_Outlet_Portland_150_50.0
Amazon,1185732,2021-10-31,Northeast,Maine,Portland,Men's Athletic Footwear,40.0,150,6000,2100,Outlet,1185732_2021-10-31_Men's Athletic Footwear_Outlet_Portland_150_40.0
Amazon,1185732,2021-11-01,Northeast,Maine,Portland,Women's Street Footwear,30.0,150,4500,1800,Outlet,1185732_2021-11-01_Women's Street Footwear_Outlet_Portland_150_30.0
Amazon,1185732,2021-11-09,Northeast,Maine,Portland,Men's Apparel,55.0,150,8250,2063,Outlet,1185732_2021-11-09_Men's Apparel_Outlet_Portland_150_55.0
Amazon,1185732,2021-12-25,Northeast,Maine,Portland,Men's Apparel,55.0,150,8250,2063,Outlet,1185732_2021-12-25_Men's Apparel_Outlet_Portland_150_55.0
Amazon,1185732,2021-12-29,Northeast,Maine,Portland,Women's Street Footwear,45.0,150,6750,2700,Outlet,1185732_2021-12-29_Women's Street Footwear_Outlet_Portland_150_45.0
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Women's Athletic Footwear,50.0,150,7500,1875,Outlet,1185732_2021-04-21_Women's Athletic Footwear_Outlet_Anchorage_150_50.0
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Men's Apparel,60.0,150,9000,2250,Outlet,1185732_2021-04-21_Men's Apparel_Outlet_Anchorage_150_60.0
Foot Locker,1128299,2021-02-10,West,Hawaii,Honolulu,Men's Apparel,50.0,150,7500,1125,Outlet,1128299_2021-02-10_Men's Apparel_Outlet_Honolulu_150_50.0
Foot Locker,1128299,2021-04-10,West,Hawaii,Honolulu,Men's Apparel,55.0,150,8250,1238,Outlet,1128299_2021-04-10_Men's Apparel_Outlet_Honolulu_150_55.0
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Apparel,45.0,150,6750,2700,In-store,1128299_2021-01-24_Men's Apparel_In-store_Cheyenne_150_45.0
West Gear,1128299,2021-01-24,West,Utah,Salt Lake City,Men's Apparel,45.0,150,6750,2700,In-store,1128299_2021-01-24_Men's Apparel_In-store_Salt Lake City_150_45.0
West Gear,1128299,2021-03-16,South,Louisiana,New Orleans,Men's Apparel,60.0,150,9000,4050,In-store,1128299_2021-03-16_Men's Apparel_In-store_New Orleans_150_60.0
Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Men's Apparel,45.0,150,6750,2025,Online,1128299_2021-02-23_Men's Apparel_Online_Phoenix_150_45.0
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Men's Apparel,55.0,150,8250,2475,Online,1128299_2021-04-23_Men's Apparel_Online_Phoenix_150_55.0
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Apparel,55.0,150,8250,2888,Online,1128299_2021-03-12_Men's Apparel_Online_Atlanta_150_55.0
Amazon,1185732,2021-01-22,Midwest,Ohio,Columbus,Women's Athletic Footwear,35.0,150,5250,2100,Online,1185732_2021-01-22_Women's Athletic Footwear_Online_Columbus_150_35.0
Amazon,1185732,2021-03-21,Southeast,Kentucky,Louisville,Men's Apparel,55.0,150,8250,2888,Online,1185732_2021-03-21_Men's Apparel_Online_Louisville_150_55.0
Amazon,1185732,2021-05-23,Southeast,Kentucky,Louisville,Men's Apparel,50.0,150,7500,2625,Online,1185732_2021-05-23_Men's Apparel_Online_Louisville_150_50.0
Amazon,1185732,2021-10-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,45.0,150,6750,2700,Online,1185732_2021-10-22_Women's Athletic Footwear_Online_Louisville_150_45.0
Amazon,1185732,2021-10-22,Southeast,Kentucky,Louisville,Men's Apparel,55.0,150,8250,2888,Online,1185732_2021-10-22_Men's Apparel_Online_Louisville_150_55.0
West Gear,1197831,2021-04-20,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,20.0,150,3000,1200,Online,1197831_2021-04-20_Women's Athletic Footwear_Online_Oklahoma City_150_20.0
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Athletic Footwear,20.0,150,3000,1050,Online,1197831_2021-02-14_Women's Athletic Footwear_Online_Wichita_150_20.0
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Men's Apparel,35.0,150,5250,1838,Online,1197831_2021-03-12_Men's Apparel_Online_Wichita_150_35.0
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Men's Apparel,40.0,150,6000,2100,Online,1197831_2021-04-13_Men's Apparel_Online_Wichita_150_40.0
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,40.0,150,6000,1800,Online,1185732_2021-04-12_Men's Athletic Footwear_Online_Sioux Falls_150_40.0
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,30.0,150,4500,1350,Online,1185732_2021-04-12_Women's Street Footwear_Online_Sioux Falls_150_30.0
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,150,5250,1575,Online,1185732_2021-09-13_Women's Athletic Footwear_Online_Sioux Falls_150_35.0
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Men's Apparel,45.0,150,6750,2363,Online,1185732_2021-09-13_Men's Apparel_Online_Sioux Falls_150_45.0
Foot Locker,1185732,2021-10-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,45.0,150,6750,2025,Online,1185732_2021-10-12_Women's Street Footwear_Online_Sioux Falls_150_45.0
Sports Direct,1185732,2021-11-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,60.0,150,9000,3150,Online,1185732_2021-11-12_Men's Apparel_Online_Sioux Falls_150_60.0
Sports Direct,1185732,2021-04-09,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30.0,150,4500,1350,Online,1185732_2021-04-09_Men's Athletic Footwear_Online_Fargo_150_30.0
Sports Direct,1185732,2021-04-09,Midwest,North Dakota,Fargo,Women's Street Footwear,20.0,150,3000,900,Online,1185732_2021-04-09_Women's Street Footwear_Online_Fargo_150_20.0
Sports Direct,1185732,2021-09-10,Midwest,North Dakota,Fargo,Women's Athletic Footwear,30.0,150,4500,1350,In-store,1185732_2021-09-10_Women's Athletic Footwear_In-store_Fargo_150_30.0
Sports Direct,1185732,2021-09-10,Midwest,North Dakota,Fargo,Men's Apparel,40.0,150,6000,2100,In-store,1185732_2021-09-10_Men's Apparel_In-store_Fargo_150_40.0
Sports Direct,1185732,2021-10-09,Midwest,North Dakota,Fargo,Women's Street Footwear,40.0,150,6000,1800,In-store,1185732_2021-10-09_Women's Street Footwear_In-store_Fargo_150_40.0
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Apparel,60.0,150,9000,3150,In-store,1185732_2021-11-09_Men's Apparel_In-store_Fargo_150_60.0
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Apparel,40.0,150,6000,3000,In-store,1185732_2021-01-06_Men's Apparel_In-store_Fargo_150_40.0
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30.0,150,4500,1575,In-store,1185732_2021-02-06_Men's Athletic Footwear_In-store_Fargo_150_30.0
Foot Locker,1185732,2021-02-06,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150,6000,3000,In-store,1185732_2021-02-06_Men's Apparel_In-store_Des Moines_150_40.0
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Men's Apparel,30.0,150,4500,2250,In-store,1185732_2021-03-05_Men's Apparel_In-store_Des Moines_150_30.0
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Apparel,45.0,150,6750,3375,In-store,1185732_2021-05-07_Men's Apparel_In-store_Des Moines_150_45.0
Foot Locker,1185732,2021-09-07,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25.0,150,3750,1125,In-store,1185732_2021-09-07_Women's Athletic Footwear_In-store_Des Moines_150_25.0
Foot Locker,1185732,2021-09-07,Midwest,Iowa,Des Moines,Men's Apparel,35.0,150,5250,2625,In-store,1185732_2021-09-07_Men's Apparel_In-store_Des Moines_150_35.0
Foot Locker,1185732,2021-10-06,Midwest,Iowa,Des Moines,Women's Street Footwear,35.0,150,5250,1575,In-store,1185732_2021-10-06_Women's Street Footwear_In-store_Des Moines_150_35.0
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150,6000,3000,In-store,1185732_2021-01-03_Men's Apparel_In-store_Des Moines_150_40.0
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30.0,150,4500,1575,In-store,1185732_2021-02-03_Men's Athletic Footwear_In-store_Des Moines_150_30.0
West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,40.0,150,6000,3000,In-store,1185732_2021-02-03_Men's Apparel_In-store_Milwaukee_150_40.0
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,20.0,150,3000,1050,In-store,1185732_2021-04-03_Men's Athletic Footwear_In-store_Milwaukee_150_20.0
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,10.0,150,1500,450,In-store,1185732_2021-04-03_Women's Street Footwear_In-store_Milwaukee_150_10.0
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,35.0,150,5250,1575,In-store,1185732_2021-05-04_Women's Athletic Footwear_In-store_Milwaukee_150_35.0
West Gear,1185732,2021-09-04,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,150,3750,1125,In-store,1185732_2021-09-04_Women's Street Footwear_In-store_Milwaukee_150_25.0
West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,30.0,150,4500,1575,In-store,1185732_2021-01-10_Women's Athletic Footwear_In-store_Milwaukee_150_30.0
West Gear,1185732,2021-09-11,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,25.0,150,3750,1313,In-store,1185732_2021-09-11_Women's Athletic Footwear_In-store_Indianapolis_150_25.0
West Gear,1185732,2021-09-11,Midwest,Indiana,Indianapolis,Men's Apparel,35.0,150,5250,1575,In-store,1185732_2021-09-11_Men's Apparel_In-store_Indianapolis_150_35.0
West Gear,1185732,2021-10-10,Midwest,Indiana,Indianapolis,Women's Street Footwear,35.0,150,5250,1838,In-store,1185732_2021-10-10_Women's Street Footwear_In-store_Indianapolis_150_35.0
West Gear,1185732,2021-10-10,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,35.0,150,5250,1838,In-store,1185732_2021-10-10_Women's Athletic Footwear_In-store_Indianapolis_150_35.0
West Gear,1185732,2021-10-10,Midwest,Indiana,Indianapolis,Men's Apparel,45.0,150,6750,2025,In-store,1185732_2021-10-10_Men's Apparel_In-store_Indianapolis_150_45.0
West Gear,1185732,2021-01-17,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,30.0,150,4500,1800,In-store,1185732_2021-01-17_Women's Athletic Footwear_In-store_Indianapolis_150_30.0
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,35.0,150,5250,1838,In-store,1185732_2021-03-20_Men's Athletic Footwear_In-store_Baltimore_150_35.0
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,150,6000,2100,In-store,1185732_2021-05-20_Women's Street Footwear_In-store_Baltimore_150_40.0
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,6000,2100,In-store,1185732_2021-06-22_Women's Athletic Footwear_In-store_Baltimore_150_40.0
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Men's Apparel,50.0,150,7500,2250,In-store,1185732_2021-06-22_Men's Apparel_In-store_Baltimore_150_50.0
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,6000,2100,In-store,1185732_2021-07-20_Women's Athletic Footwear_In-store_Baltimore_150_40.0
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,6000,2100,In-store,1185732_2021-08-21_Women's Athletic Footwear_In-store_Baltimore_150_40.0
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,50.0,150,7500,2625,In-store,1185732_2021-11-21_Women's Athletic Footwear_In-store_Baltimore_150_50.0
Foot Locker,1185732,2021-02-15,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150,5250,2100,In-store,1185732_2021-02-15_Women's Athletic Footwear_In-store_Wilmington_150_35.0
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150,5250,2100,In-store,1185732_2021-04-14_Women's Athletic Footwear_In-store_Wilmington_150_35.0
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Men's Apparel,50.0,150,7500,2250,In-store,1185732_2021-04-14_Men's Apparel_In-store_Wilmington_150_50.0
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,150,6000,2400,In-store,1185732_2021-09-06_Women's Athletic Footwear_In-store_Newark_150_40.0
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Apparel,50.0,150,7500,2250,In-store,1185732_2021-09-06_Men's Apparel_In-store_Newark_150_50.0
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Women's Street Footwear,50.0,150,7500,3000,In-store,1185732_2021-10-08_Women's Street Footwear_In-store_Newark_150_50.0
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,35.0,150,5250,1575,In-store,1185732_2021-01-07_Women's Athletic Footwear_In-store_Newark_150_35.0
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Apparel,50.0,150,7500,2250,In-store,1185732_2021-03-03_Men's Apparel_In-store_Hartford_150_50.0
Sports Direct,1185732,2021-10-05,Northeast,Connecticut,Hartford,Women's Athletic Footwear,55.0,150,8250,2475,In-store,1185732_2021-10-05_Women's Athletic Footwear_In-store_Hartford_150_55.0
Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Men's Athletic Footwear,35.0,150,5250,1838,In-store,1185732_2021-03-06_Men's Athletic Footwear_In-store_Providence_150_35.0
Foot Locker,1185732,2021-05-06,Northeast,Rhode Island,Providence,Women's Athletic Footwear,40.0,150,6000,2400,In-store,1185732_2021-05-06_Women's Athletic Footwear_In-store_Providence_150_40.0
Foot Locker,1185732,2021-08-07,Northeast,Rhode Island,Providence,Women's Athletic Footwear,40.0,150,6000,2400,In-store,1185732_2021-08-07_Women's Athletic Footwear_In-store_Providence_150_40.0
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Apparel,50.0,150,7500,1875,In-store,1185732_2021-01-17_Men's Apparel_In-store_Providence_150_50.0
Sports Direct,1185732,2021-02-15,Northeast,Rhode Island,Providence,Men's Athletic Footwear,40.0,150,6000,1800,In-store,1185732_2021-02-15_Men's Athletic Footwear_In-store_Providence_150_40.0
Sports Direct,1185732,2021-02-15,Northeast,Massachusetts,Boston,Men's Apparel,50.0,150,7500,1875,In-store,1185732_2021-02-15_Men's Apparel_In-store_Boston_150_50.0
Sports Direct,1185732,2021-04-14,Northeast,Massachusetts,Boston,Men's Athletic Footwear,40.0,150,6000,1800,In-store,1185732_2021-04-14_Men's Athletic Footwear_In-store_Boston_150_40.0
Sports Direct,1185732,2021-04-14,Northeast,Massachusetts,Boston,Women's Street Footwear,30.0,150,4500,1125,In-store,1185732_2021-04-14_Women's Street Footwear_In-store_Boston_150_30.0
Sports Direct,1185732,2021-08-14,Northeast,Massachusetts,Boston,Men's Apparel,55.0,150,8250,2063,In-store,1185732_2021-08-14_Men's Apparel_In-store_Boston_150_55.0
Sports Direct,1185732,2021-09-13,Northeast,Massachusetts,Boston,Women's Street Footwear,45.0,150,6750,1688,In-store,1185732_2021-09-13_Women's Street Footwear_In-store_Boston_150_45.0
Amazon,1185732,2021-02-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,40.0,150,6000,2100,In-store,1185732_2021-02-12_Women's Athletic Footwear_In-store_Burlington_150_40.0
Amazon,1185732,2021-04-11,Northeast,Vermont,Burlington,Women's Athletic Footwear,40.0,150,6000,2100,In-store,1185732_2021-04-11_Women's Athletic Footwear_In-store_Burlington_150_40.0
Amazon,1185732,2021-04-11,Northeast,Vermont,Burlington,Men's Apparel,55.0,150,8250,2888,In-store,1185732_2021-04-11_Men's Apparel_In-store_Burlington_150_55.0
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,45.0,150,6750,2025,In-store,1185732_2021-03-17_Women's Athletic Footwear_In-store_Manchester_150_45.0
Foot Locker,1185732,2021-01-24,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,50.0,150,7500,1875,Outlet,1185732_2021-01-24_Women's Athletic Footwear_Outlet_Manchester_150_50.0
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,42.0,150,630,258,Online,1197831_2020-09-15_Men's Apparel_Online_Houston_150_42.0
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,47.0,150,705,296,Online,1128299_2020-11-10_Women's Athletic Footwear_Online_San Francisco_150_47.0
Foot Locker,1185732,2021-08-05,Midwest,Illinois,Chicago,Men's Street Footwear,57.0,150,855,470,Online,1185732_2021-08-05_Men's Street Footwear_Online_Chicago_150_57.0
Sports Direct,1197831,2021-09-19,South,Texas,Dallas,Women's Athletic Footwear,43.0,150,645,393,Online,1197831_2021-09-19_Women's Athletic Footwear_Online_Dallas_150_43.0
West Gear,1128299,2020-03-04,West,Nevada,Las Vegas,Men's Athletic Footwear,64.0,150,960,326,Online,1128299_2020-03-04_Men's Athletic Footwear_Online_Las Vegas_150_64.0
West Gear,1128299,2020-03-14,West,Nevada,Las Vegas,Women's Apparel,74.0,150,1110,300,Online,1128299_2020-03-14_Women's Apparel_Online_Las Vegas_150_74.0
West Gear,1128299,2020-04-16,West,Colorado,Denver,Women's Street Footwear,64.0,150,960,614,Online,1128299_2020-04-16_Women's Street Footwear_Online_Denver_150_64.0
West Gear,1128299,2020-05-14,West,Colorado,Denver,Men's Street Footwear,52.0,150,780,429,Online,1128299_2020-05-14_Men's Street Footwear_Online_Denver_150_52.0
West Gear,1128299,2020-05-15,West,Colorado,Denver,Men's Athletic Footwear,55.0,150,825,305,Online,1128299_2020-05-15_Men's Athletic Footwear_Online_Denver_150_55.0
West Gear,1128299,2020-08-05,West,Washington,Seattle,Women's Apparel,86.0,150,1290,439,Online,1128299_2020-08-05_Women's Apparel_Online_Seattle_150_86.0
Kohl's,1189833,2021-01-21,Midwest,Montana,Billings,Men's Street Footwear,39.0,150,585,333,Online,1189833_2021-01-21_Men's Street Footwear_Online_Billings_150_39.0
Kohl's,1189833,2021-02-01,Midwest,Montana,Billings,Women's Apparel,55.0,150,825,297,Online,1189833_2021-02-01_Women's Apparel_Online_Billings_150_55.0
Sports Direct,1197831,2021-05-04,South,Tennessee,Knoxville,Men's Athletic Footwear,32.0,150,480,288,Online,1197831_2021-05-04_Men's Athletic Footwear_Online_Knoxville_150_32.0
Sports Direct,1197831,2021-09-23,South,Alabama,Birmingham,Women's Apparel,37.0,150,555,427,Online,1197831_2021-09-23_Women's Apparel_Online_Birmingham_150_37.0
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Women's Street Footwear,79.0,150,1185,427,Online,1128299_2021-07-09_Women's Street Footwear_Online_Honolulu_150_79.0
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Women's Athletic Footwear,64.0,150,960,413,Online,1128299_2021-11-17_Women's Athletic Footwear_Online_Orlando_150_64.0
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Street Footwear,48.0,150,720,274,Online,1185732_2021-06-10_Women's Street Footwear_Online_Albany_150_48.0
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Men's Apparel,62.0,150,930,456,Online,1185732_2021-06-10_Men's Apparel_Online_Albany_150_62.0
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Women's Athletic Footwear,53.0,150,795,342,Online,1185732_2021-07-08_Women's Athletic Footwear_Online_Albany_150_53.0
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Women's Athletic Footwear,41.0,150,615,246,Online,1185732_2021-08-09_Women's Athletic Footwear_Online_Albany_150_41.0
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Men's Apparel,59.0,150,885,416,Online,1185732_2021-10-10_Men's Apparel_Online_Albany_150_59.0
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,39.0,150,585,275,Online,1185732_2021-07-10_Women's Athletic Footwear_Online_Cheyenne_150_39.0
Kohl's,1185732,2021-09-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,44.0,150,660,284,Online,1185732_2021-09-10_Men's Athletic Footwear_Online_Cheyenne_150_44.0
